5,5,1,1,0,0,-1
6,4,-1,-1,1,1,0
3,7,-1,-1,1,0,0
7,3,0,1,1,1,0
6,4,-1,-1,-1,1,-1
6,4,1,0,0,-1,-1
7,3,-1,-1,-1,1,1
6,4,1,0,1,1,-1
3,7,0,1,0,1,1
5,5,0,-1,-1,1,1
5,5,1,0,1,0,0
6,4,-1,1,0,1,0
7,3,0,-1,-1,1,0
7,3,1,-1,1,1,0
6,4,-1,-1,0,1,0
5,5,1,-1,-1,1,1
6,4,1,-1,-1,-1,-1
4,6,1,1,-1,0,-1
6,4,1,-1,0,0,-1
3,7,0,-1,-1,1,-1
18,22,0,3,2,0,0
25,15,2,-1,0,2,3
24,16,0,1,3,3,2
18,22,3,-1,2,-1,0
25,15,-1,3,1,2,0
17,23,-1,3,0,3,2
20,20,1,3,-1,-1,0
23,17,-1,3,0,-1,3
28,12,0,-1,1,3,1
26,14,-1,0,0,2,2
14,26,3,3,0,1,2
12,28,2,2,1,2,2
20,20,0,2,0,1,0
21,19,-1,1,-1,3,-1
25,15,1,0,2,0,-1
26,14,-1,0,2,0,3
16,24,0,1,2,3,3
19,21,1,-1,-1,3,-1
13,27,1,2,-1,3,3
22,18,2,1,-1,0,0
27,63,2,3,2,4,2
52,38,-1,0,1,4,1
37,53,-1,2,4,-1,3
55,35,-2,-2,-2,1,4
28,62,3,4,0,1,-2
53,37,1,0,0,1,3
41,49,3,4,1,-1,2
31,59,4,3,1,3,-2
47,43,4,-1,1,3,-1
53,37,-1,2,-2,1,1
43,47,4,2,1,4,-2
31,59,1,2,-1,-1,-2
45,45,3,-2,3,3,0
29,61,-2,2,0,1,2
49,41,1,2,0,-2,2
49,41,2,2,4,1,1
49,41,1,4,-2,-2,2
60,30,4,0,3,-2,-1
31,59,-1,-1,2,-2,3
61,29,4,2,1,0,-1
68,92,-1,5,3,1,-2
49,111,0,1,3,3,6
52,108,1,2,2,1,2
93,67,2,-2,3,6,4
90,70,1,5,2,-2,-1
87,73,3,0,-2,6,2
102,58,2,0,5,-2,3
89,71,3,2,2,-2,0
51,109,4,0,2,5,3
58,102,1,3,6,0,6
72,88,0,0,1,5,6
101,59,-1,6,5,-1,-1
97,63,-1,-1,-1,0,6
101,59,4,-1,6,-2,3
48,112,4,6,1,-1,-2
60,100,3,5,1,-2,4
77,83,6,0,-1,4,2
90,70,-1,6,-2,6,5
58,102,3,1,4,-1,0
63,97,2,4,5,-2,4
167,83,2,1,-1,4,6
114,136,7,3,-1,-2,7
106,144,4,0,1,-1,-2
173,77,1,2,4,-3,-1
106,144,3,1,-2,0,5
93,157,4,4,-2,1,5
139,111,-2,4,-3,2,4
127,123,-2,1,-1,0,7
130,120,6,2,-1,3,4
88,162,6,1,-2,1,5
162,88,-3,-1,-1,-3,-3
120,130,4,2,-1,5,5
148,102,-2,2,6,7,5
86,164,1,4,1,-2,-2
165,85,7,6,1,6,-2
129,121,0,1,5,6,-3
125,125,4,3,6,0,5
118,132,0,-3,2,-3,-2
141,109,-3,7,7,-3,4
143,107,0,0,5,3,1
